,count,mean,std,min,25%,50%,75%,max
APP_E_Window_SUP_AreaGross,3000096.0,3.9384588612703175,8.395459551160851,0.0,0.0,0.0,4.1160060000000005,104.17896
APP_ExteriorWindowArea,3000096.0,15.4904185066078,13.627365553855299,0.29,6.17,11.87,20.62,163.96
APP_FloorArea,3000096.0,47.23736980416626,35.65401059583783,4.36,22.13,37.02,59.47,219.65
APP_N_Door_isIn,3000096.0,0.2993904195065758,0.45799112014387033,0.0,0.0,0.0,1.0,1.0
APP_N_ParExt_SUP_AreaGross,3000096.0,13.45897311810422,16.913126086185205,0.0,0.0,7.1097600000000005,22.785,123.731388
APP_N_ParInt_SUP_AreaGross,3000096.0,21.53446883956913,24.124943204188426,0.0,0.0,16.680269999999997,33.054975000000006,166.15368
APP_N_Window_SUP_AreaGross,3000096.0,3.952379977122129,8.407391584887497,0.0,0.0,0.0,4.1741280000000005,108.51700992
APP_S_Door_isIn,3000096.0,0.2996744104188666,0.45811540916379223,0.0,0.0,0.0,1.0,1.0
APP_S_ParExt_SUP_AreaGross,3000096.0,13.421147740644315,16.903893113695563,0.0,0.0,6.986444999999999,22.787871,122.07056399999999
APP_S_ParInt_SUP_AreaGross,3000096.0,21.572276008971713,24.12817107296614,0.0,0.0,16.750859999999996,33.1896705,168.40278
APP_S_Window_SUP_AreaGross,3000096.0,3.9041182992349066,8.350789689569165,0.0,0.0,0.0,4.0572,100.1099412
APP_W_Door_isIn,3000096.0,0.30038638763559566,0.4584260854359004,0.0,0.0,0.0,1.0,1.0
APP_W_ParExt_SUP_AreaGross,3000096.0,13.433491301814348,16.906379554711716,0.0,0.0,7.058951999999999,22.790846250000005,122.48577000000002
APP_W_ParInt_SUP_AreaGross,3000096.0,21.550578820077764,24.14066668425914,0.0,0.0,16.6556,33.16542,168.96599999999995
APP_W_Window_SUP_AreaGross,3000096.0,3.934108126134888,8.387592412466148,0.0,0.0,0.0,4.18013024,106.56261990000002
BLDG_E_ParExt,3000096.0,483.78277013454,389.2139237652364,0.0,192.86016000000004,431.07992399999983,710.8992000000002,2028.6648
BLDG_E_ParInt,3000096.0,775.6438714158583,527.3366584782675,58.6908,408.79641600000014,640.2316799999996,988.9266240000003,3590.7842879999994
BLDG_E_Window,3000096.0,141.78451900573154,211.5289024462821,0.0,0.0,42.018240000000006,211.3649991,1613.0064816
BLDG_N_ParExt,3000096.0,484.5230322517519,388.8182376587698,0.0,194.85359999999997,431.420304,708.8921280000001,2021.902583999999
BLDG_N_ParInt,3000096.0,775.2408782244886,527.5336478688207,59.00316,409.1904,638.0352000000001,985.157694,3566.7656640000005
